Nom du produit,Modèle associé,Paramètre du modèle,RMSE
Pain au chocolat,SVR,"{'C': 1, 'gamma': 0.001}",12.0510323654823
Croissant,KNN,"{'algorithm': 'brute', 'n_neighbors': 35, 'weights': 'uniform'}",10.0
Pains suisses,SVR,"{'C': 1, 'gamma': 0.001}",8.305137748172505
Sandwiches poulet crudités,KNN,"{'algorithm': 'auto', 'n_neighbors': 45, 'weights': 'uniform'}",2.494616425647661
Sandwiches thon crudités,KNN,"{'algorithm': 'auto', 'n_neighbors': 25, 'weights': 'uniform'}",1.6079800993793427
Sandwiches végétarien,SVR,"{'C': 1, 'gamma': 0.1}",0.2179839843607782
Sandwiches poulet mexicain,SVR,"{'C': 1, 'gamma': 0.001}",0.2179839843607782
Sandwiches thon cruditès,SVR,"{'C': 10, 'gamma': 0.0001}",0.2179839843607782
Sandwiches poulet curry,SVR,"{'C': 1, 'gamma': 0.01}",0.2179839843607782
Sandwiches saumon,SVR,"{'C': 1, 'gamma': 0.01}",0.09571901208941651
Panini 4 fromages,SVR,"{'C': 0.1, 'gamma': 'scale'}",0.09571901208941651
Panini poulet Kebab,SVR,"{'C': 10, 'gamma': 0.0001}",0.09571901208941651
Salade Thon,SVR,"{'C': 100000, 'gamma': 0.0001}",0.09571901208941651
Salade Poulet,SVR,"{'C': 100000, 'gamma': 0.0001}",0.09571901208941651
Sandwiches chèvre miel crudités,SVR,"{'C': 10, 'gamma': 0.0001}",0.8024635962954029
