Jour,Date,Pain au chocolat,Croissant,Pains suisses,Sandwiches poulet crudités,Sandwiches thon crudités,Sandwiches végétarien,Sandwiches poulet mexicain,Sandwiches chèvre miel crudités,Sandwiches poulet curry,Sandwiches saumon,Panini 4 fromages,Panini poulet Kebab,Salade Thon,Salade Poulet
Lundi ,05/09/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mardi,06/09/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercredi,07/09/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeudi,08/09/2022,50,25,25,20,20,20,20,20,20,20,20,0,0,0
Vendredi,09/09/2022,50,25,25,20,20,20,20,20,20,20,20,0,0,0
Lundi ,12/09/2022,25,15,10,10,10,5,10,10,10,5,0,0,0,0
Mardi,13/09/2022,25,15,10,10,10,5,10,10,10,5,0,0,0,0
Mercredi,14/09/2022,25,15,10,10,10,5,10,10,10,5,0,0,0,0
Jeudi,15/09/2022,25,15,10,10,10,5,10,10,10,5,0,0,0,0
Vendredi,16/09/2022,25,15,10,10,10,5,10,10,10,5,0,0,0,0
Lundi ,19/09/2022,25,15,10,10,10,5,10,10,10,5,0,0,0,0
Mardi,20/09/2022,25,15,10,10,10,5,10,10,10,5,0,0,0,0
Mercredi,21/09/2022,25,15,10,10,10,5,10,10,10,5,0,0,0,0
Jeudi,22/09/2022,25,15,10,10,10,5,10,10,10,5,0,0,0,0
Vendredi,23/09/2022,25,15,10,10,10,5,10,10,10,5,0,0,0,0
Lundi ,26/09/2022,25,15,10,0,0,5,15,15,15,10,10,10,0,0
Mardi,27/09/2022,25,15,10,15,0,5,15,15,0,10,10,0,0,0
Mercredi,28/09/2022,25,15,10,10,15,5,15,0,15,0,10,10,0,0
Jeudi,29/09/2022,25,15,10,0,15,5,15,15,0,0,0,0,0,0
Vendredi,30/09/2022,25,15,10,0,10,5,15,0,10,10,0,5,0,0
Lundi ,03/10/2022,25,15,10,0,0,5,15,15,15,10,10,10,0,0
Mardi,04/10/2022,25,15,10,0,0,5,15,15,0,10,10,0,0,0
Mercredi,05/10/2022,25,15,10,15,15,5,15,0,15,0,10,10,0,0
Jeudi,06/10/2022,25,15,10,15,15,5,15,15,0,0,0,0,0,0
Vendredi,07/10/2022,25,15,10,10,10,5,15,0,10,10,0,5,0,0
Lundi ,10/10/2022,25,15,10,0,0,5,15,15,15,10,10,10,0,0
Mardi,11/10/2022,25,15,10,15,0,5,15,15,0,10,10,0,0,0
Mercredi,12/10/2022,25,15,10,10,15,5,15,0,15,0,10,10,0,0
Jeudi,13/10/2022,25,15,10,0,15,5,15,15,0,0,0,0,0,0
Vendredi,14/10/2022,25,15,10,0,10,5,15,0,10,10,0,5,0,0
Lundi ,17/10/2022,30,20,15,0,0,5,20,20,15,15,10,10,0,0
Mardi,18/10/2022,30,20,15,15,0,5,20,20,0,15,10,0,0,0
Mercredi,19/10/2022,30,20,15,10,15,5,15,0,15,0,10,10,0,0
Jeudi,20/10/2022,30,20,15,0,15,5,15,15,0,0,0,0,0,0
Vendredi,21/10/2022,30,20,15,0,10,5,15,0,10,10,0,5,0,0
Lundi ,24/10/2022,30,20,20,10,0,5,20,20,15,15,10,10,0,0
Mardi,25/10/2022,30,20,20,15,0,5,20,20,0,15,10,0,0,0
Mercredi,26/10/2022,30,20,20,10,15,5,15,0,15,0,10,10,0,0
Jeudi,27/10/2022,30,20,20,0,15,5,15,15,0,0,0,0,0,0
Vendredi,28/10/2022,30,20,20,0,10,5,15,0,10,10,0,5,0,0
Lundi ,31/10/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mardi,01/11/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercredi,02/11/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeudi,03/11/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vendredi,04/11/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lundi ,07/11/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mardi,08/11/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercredi,09/11/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeudi,10/11/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vendredi,11/11/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lundi ,14/11/2022,30,20,20,0,0,5,20,20,15,15,10,10,0,0
Mardi,15/11/2022,30,20,20,15,0,5,20,20,0,15,10,0,0,0
Mercredi,16/11/2022,30,20,20,10,15,5,15,0,15,0,10,10,0,0
Jeudi,17/11/2022,30,20,20,0,15,5,15,15,0,0,0,0,0,0
Vendredi,18/11/2022,30,20,20,0,10,5,15,0,10,10,0,5,0,0
Lundi ,21/11/2022,30,20,20,0,0,5,20,20,15,15,10,10,0,0
Mardi,22/11/2022,30,20,20,15,0,5,20,20,0,15,10,0,0,0
Mercredi,23/11/2022,30,20,20,10,15,5,15,0,15,0,10,10,0,0
Jeudi,24/11/2022,30,20,20,5,10,5,15,15,0,0,0,0,0,0
